"","Reach","OCH","abv","year","ha","year2"
"1","0",10,"BW","X1890ha",83.39,"1890"
"2","0",11,"BU","X1890ha",42.07,"1890"
"3","0",12,"FP","X1890ha",1.95,"1890"
"4","0",30,"RBW","X1890ha",0,"1890"
"5","2",10,"BW","X1890ha",26.35,"1890"
"6","2",11,"BU","X1890ha",133.91,"1890"
"7","2",12,"FP","X1890ha",126.38,"1890"
"8","2",30,"RBW","X1890ha",0,"1890"
"9","4",10,"BW","X1890ha",11,"1890"
"10","4",11,"BU","X1890ha",49.36,"1890"
"11","4",12,"FP","X1890ha",180.75,"1890"
"12","4",30,"RBW","X1890ha",0,"1890"
"13","8",10,"BW","X1890ha",0,"1890"
"14","8",11,"BU","X1890ha",62,"1890"
"15","8",12,"FP","X1890ha",0,"1890"
"16","8",30,"RBW","X1890ha",0,"1890"
"17","10",10,"BW","X1890ha",18.4,"1890"
"18","10",11,"BU","X1890ha",37.34,"1890"
"19","10",12,"FP","X1890ha",44.06,"1890"
"20","10",30,"RBW","X1890ha",0,"1890"
"21","11",10,"BW","X1890ha",6.08,"1890"
"22","11",11,"BU","X1890ha",51.97,"1890"
"23","11",12,"FP","X1890ha",325.61,"1890"
"24","11",30,"RBW","X1890ha",0,"1890"
"25","12",10,"BW","X1890ha",67.94,"1890"
"26","12",11,"BU","X1890ha",235.51,"1890"
"27","12",12,"FP","X1890ha",3600.77,"1890"
"28","12",30,"RBW","X1890ha",0,"1890"
"29","13",10,"BW","X1890ha",76.89,"1890"
"30","13",11,"BU","X1890ha",105.21,"1890"
"31","13",12,"FP","X1890ha",2024.13,"1890"
"32","13",30,"RBW","X1890ha",0,"1890"
"33","0",10,"BW","X1950ha",47.61,"1950"
"34","0",11,"BU","X1950ha",8.07,"1950"
"35","0",12,"FP","X1950ha",3.26,"1950"
"36","0",30,"RBW","X1950ha",0,"1950"
"37","2",10,"BW","X1950ha",23.07,"1950"
"38","2",11,"BU","X1950ha",85.05,"1950"
"39","2",12,"FP","X1950ha",272.78,"1950"
"40","2",30,"RBW","X1950ha",321.84,"1950"
"41","4",10,"BW","X1950ha",17.15,"1950"
"42","4",11,"BU","X1950ha",54.88,"1950"
"43","4",12,"FP","X1950ha",67.99,"1950"
"44","4",30,"RBW","X1950ha",41.52,"1950"
"45","8",10,"BW","X1950ha",9.84,"1950"
"46","8",11,"BU","X1950ha",0.95,"1950"
"47","8",12,"FP","X1950ha",0,"1950"
"48","8",30,"RBW","X1950ha",0,"1950"
"49","10",10,"BW","X1950ha",14.86,"1950"
"50","10",11,"BU","X1950ha",10.8,"1950"
"51","10",12,"FP","X1950ha",44.76,"1950"
"52","10",30,"RBW","X1950ha",0,"1950"
"53","11",10,"BW","X1950ha",NA,"1950"
"54","11",11,"BU","X1950ha",NA,"1950"
"55","11",12,"FP","X1950ha",NA,"1950"
"56","11",30,"RBW","X1950ha",NA,"1950"
"57","12",10,"BW","X1950ha",34.18,"1950"
"58","12",11,"BU","X1950ha",26.68,"1950"
"59","12",12,"FP","X1950ha",1712.56,"1950"
"60","12",30,"RBW","X1950ha",0,"1950"
"61","13",10,"BW","X1950ha",119.25,"1950"
"62","13",11,"BU","X1950ha",11.61,"1950"
"63","13",12,"FP","X1950ha",1082.29,"1950"
"64","13",30,"RBW","X1950ha",0,"1950"
"65","0",10,"BW","X2006ha",17.51,"2006"
"66","0",11,"BU","X2006ha",0.46,"2006"
"67","0",12,"FP","X2006ha",78.23,"2006"
"68","0",30,"RBW","X2006ha",4.34,"2006"
"69","2",10,"BW","X2006ha",64.09,"2006"
"70","2",11,"BU","X2006ha",1.16,"2006"
"71","2",12,"FP","X2006ha",981.69,"2006"
"72","2",30,"RBW","X2006ha",303.57,"2006"
"73","4",10,"BW","X2006ha",104.8,"2006"
"74","4",11,"BU","X2006ha",11.71,"2006"
"75","4",12,"FP","X2006ha",155.11,"2006"
"76","4",30,"RBW","X2006ha",51.88,"2006"
"77","8",10,"BW","X2006ha",181.12,"2006"
"78","8",11,"BU","X2006ha",0,"2006"
"79","8",12,"FP","X2006ha",90.92,"2006"
"80","8",30,"RBW","X2006ha",0,"2006"
"81","10",10,"BW","X2006ha",34.83,"2006"
"82","10",11,"BU","X2006ha",5.42,"2006"
"83","10",12,"FP","X2006ha",17.78,"2006"
"84","10",30,"RBW","X2006ha",156.3,"2006"
"85","11",10,"BW","X2006ha",0,"2006"
"86","11",11,"BU","X2006ha",0,"2006"
"87","11",12,"FP","X2006ha",105.04,"2006"
"88","11",30,"RBW","X2006ha",0,"2006"
"89","12",10,"BW","X2006ha",34.33,"2006"
"90","12",11,"BU","X2006ha",0,"2006"
"91","12",12,"FP","X2006ha",1321.53,"2006"
"92","12",30,"RBW","X2006ha",0,"2006"
"93","13",10,"BW","X2006ha",0,"2006"
"94","13",11,"BU","X2006ha",0,"2006"
"95","13",12,"FP","X2006ha",795.5,"2006"
"96","13",30,"RBW","X2006ha",8.95,"2006"
"97","0",10,"BW","X2012ha",NA,"2012"
"98","0",11,"BU","X2012ha",NA,"2012"
"99","0",12,"FP","X2012ha",NA,"2012"
"100","0",30,"RBW","X2012ha",NA,"2012"
"101","2",10,"BW","X2012ha",NA,"2012"
"102","2",11,"BU","X2012ha",NA,"2012"
"103","2",12,"FP","X2012ha",NA,"2012"
"104","2",30,"RBW","X2012ha",NA,"2012"
"105","4",10,"BW","X2012ha",233.79,"2012"
"106","4",11,"BU","X2012ha",73.69,"2012"
"107","4",12,"FP","X2012ha",164.61,"2012"
"108","4",30,"RBW","X2012ha",2.35,"2012"
"109","8",10,"BW","X2012ha",246.64,"2012"
"110","8",11,"BU","X2012ha",57.99,"2012"
"111","8",12,"FP","X2012ha",8.65,"2012"
"112","8",30,"RBW","X2012ha",0,"2012"
"113","10",10,"BW","X2012ha",21.37,"2012"
"114","10",11,"BU","X2012ha",58.85,"2012"
"115","10",12,"FP","X2012ha",162.63,"2012"
"116","10",30,"RBW","X2012ha",8.98,"2012"
"117","11",10,"BW","X2012ha",0,"2012"
"118","11",11,"BU","X2012ha",0,"2012"
"119","11",12,"FP","X2012ha",88.86,"2012"
"120","11",30,"RBW","X2012ha",0,"2012"
"121","12",10,"BW","X2012ha",307.51,"2012"
"122","12",11,"BU","X2012ha",0,"2012"
"123","12",12,"FP","X2012ha",1547.29,"2012"
"124","12",30,"RBW","X2012ha",0,"2012"
"125","13",10,"BW","X2012ha",128.47,"2012"
"126","13",11,"BU","X2012ha",0,"2012"
"127","13",12,"FP","X2012ha",1400.28,"2012"
"128","13",30,"RBW","X2012ha",0,"2012"
